Delete column for submission,Actual Name,Jeff,Andy,Initial Class,Proposed name,Country,State-Prov,Site,Find or Fall Date,Purchase date,Purchase place,Fall,Latitude,Longitude,Mass,Pieces,Class,Shock,Weathering grade,Fa,Fs,Wo,Mag sus,Classifier,Class method,Type spec mass,Type spec loc,Main mass loc,Finder,Comments,Writeup history,Writeup physical,Writeup petrog,Writeup geochem,Writeup class,Writeup specimens,Submitter,,
13413A,,L4 PAIR,L4 PAIR,L4-6,Ooldea,Australia,South Australia,Nullarbor Plain,13-Apr-2013,,,,"30° 37' 18.4"" S","131° 52' 58.5"" E",1240,4,L4-6,S1,W3,18.87,16.93,,,"J. Savage, Monash","EMPA, Optical microscopy",221.9,Monash U.,Monash U.,"A. Tomkins, A. Tait, E. Mare, A. Langendam, L. Bowlt",,Eleven individual stones from a newly defined strewn field identified in 2013 and 2014. Individual masses range from 2 to 407 grams.,Most stones have full or nearly full fusion crust weathered red/brown. One stone was fragmented and dispersed.,"(J. Savage, Monash) Porphyritic chondrules <0.5mm and non-porphyritic chondrules <0.25mm are indistinguishable from the matrix.  Chondrules that possess partial or complete metal/sulphide rims may be distinguished from the matrix below these size limits. The matrix consists of 40% metal/sulphides and 60% fine-grained equilibrated olivine, pyroxene, plagioclase and recrystallised glass. Olivine, Pyroxene, Fe-Ni Metal, Troilite and Plagioclase minerals compose the meteorite. Chondrule types include PO, BO, RP, POP and C. Olivine, pyroxene and plagioclase grains all have sharp extinction. Fe-Ni metal and troilite veins are pervasive throughout the matrix. Course, amoeboid grains are interconnected via metal/sulphide veins. Weathering of the Fe-Ni metals is around 65-70%. Troilite shows 50% weathering with oxides forming around the rim and through grains giving the sulphide grains a mottled texture. ","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.2-19.7, mean=18.87 mol%, std=0.59, n=5; Low-Ca pyroxene Fs16.5-17.8, mean=16.93 mol%, std=0.52, n=5.","Ordinary Chondrite (L5, S1, W3).",,A. Tomkins,,
18414A,,H5,H5,,Ooldea,Australia,South Australia,Nullarbor Plain,18-Apr-2013,,,,"30° 37' 44.2"" S","131° 54' 08.9"" E",157.6,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Single specimen found by A Tomkins,Rounded 2 cm specimen with 100% fusion crust weathered to desert red.,"(A. Tomkins, Monash) Few chondrules are discernable and the sample appears finely brecciated with many fine shock veins. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase, Fe-Ni metal, troilite and chromite. Chondrule types include RP, PP, BO and PO. Olivine and plagioclase grains show undulose extinction. About 65% of the FeNi metal is oxidised; much of the troilite remains.","(A. Tomkins, Monash) Microprobe analyses show that olivine and pyroxene have uniform compositions: olivine Fa25.0-26.1, mean=25.44 mol%, std=0.41, n=5; Low-Ca pyroxene Fs21.7-22.2, mean=21.90 mol%, std=0.21, n=5.","Ordinary chondrite (LL6, S3, W3)",,A. Tomkins,,
19414C,,L4,L5,,Ooldea,Australia,South Australia,Nullarbor Plain,19-Apr-2013,,,,"30° 43' 37.4"" S","131° 54' 59.6"" E",17.7,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,38 fragments spread over 40 m2 found by A Tomkins. Two additional broken pieces found by J. Kuyken 100 m away.,Dark brown broken flat fragments ranging from 1 to 3 cm.,"(E. Mare, Monash) This sample contains moderately defined chondrules in a recrystallised and rusted matrix. Mineralogy includes olivine, pyroxene, plagioclase, Fe-Ni metal (largely rusted out), and troilite. Chondrule types include RP, POP, CC, PO, PP. Fe-Ni metal grains (<<1%) average ~5 microns. Troilite grains (3%) are up to 200 microns and show some oxidation. Metal and troilite are partly replaced by oxides which make up ~7% of the meteorite. Olivine grains show sharp extinction, however there are extensive melt networks where brecciated silicates are suspended in oxides after troilite and metal.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.7-19.1, mean=18.84 mol%, std=0.19, n=4; Low-Ca pyroxene Fs16.5-17.0, mean=16.83 mol%, std=0.24, n=4. ","Ordinary chondrite (H5, S3, W3)",,A. Tomkins,,
19414D,,L5,L4,,Ooldea,Australia,South Australia,Nullarbor Plain,19-Apr-2013,,,,"30° 44' 28.3"" S","131° 56' 42.3"" E",56.2,12,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Single specimen found by E Mare,Small equant sample with 50% dark brown fusion crust.,"(A. Tomkins, Monash) This sample is coarse grained and contains only sparse recognisable chondrules up to 2mm in size.  Mineralogy includes olivine, ortho- and clinopyroxene, and plagioclase (>100 microns), FeNi metal, troilite and chromite. Chondrule types include RP, POP, PO, PP and BO. Olivine and plagioclase grains have undulose extinction; there are annealed metal-troilite veins. About 95% of the metal is oxidised and a considerable amount of troilite remains. ","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.9-19.2, mean=19.00 mol%, std=0.13, n=4; Low-Ca pyroxene Fs16.7-17.3, mean=17.01 mol%, std=0.28, n=4.  ","Ordinary chondrite (L6, S2, W3)",,A. Tomkins,,
20414C,,EH6,EL6,,Ooldea,Australia,South Australia,Nullarbor Plain,20-Apr-2013,,,,"30° 38' 51.4"" S","131° 55' 25.4"" E",14.1,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Twelve fragments spread over ~20 m2 found by A Tomkins,"Several flatish blocky fragments up to 4 cm, several with partial fusion crust, weathered to brown-red.","(J. Savage, Monash) Porphyritic chondrules >1mm are recognisable against the matrix where as the texture of those <1mm has been lost. Two porphyritic chondrules <1mm have troilite rims that make them distinguishable from the matrix. Non-porphyritic chondrules contrast with the matrix. The matrix is more than 95% recrystallised and indistinguishable from the smaller chondrules. Chondrule mesostasis is absent. Minerals present are Olivine, Pyroxene, Oligoclase, Fe-Ni metal and Troilite. Chondrule types include PO, C, BO, POP, PP, and RP. Sparse, coarse olivine and pyroxene grains retain sharp extinction, however the majority of olivine, pyroxene and plagioclase grains exhibit undulose extinction. Fe-Ni metal weathering is >90% for metals grains in or connected by vein networks. Isolated grains are relatively un-weathered with oxidation <10%. Total Fe-Ni metal weathering is 85%. Sulphides show about 50-60% weathering.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa23.0-26.4, mean=24.21 mol%, std=1.58, n=5; Low-Ca pyroxene Fs20.3-23.1, mean=21.36 mol%, std=1.09, n=5.","Ordinary chondrite (L5, S2, W3)",,A. Tomkins,,
21414A,,L4,H4,,Ooldea,Australia,South Australia,Nullarbor Plain,21-Apr-2013,,,,"30° 29' 18.8"" S","131° 48' 03.9"" E",39.1,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Single oriented specimen found by A Tait,"Single flat well-oriented specimen with flow lines on the flat fron surface, weathered red-brown.","(J. Savage, Monash) Large chondrules (0.25-1mm) are distinguishable from the matrix. Chondrules <0.25mm are poorly distinguish from the matrix, except for areas where coarse Fe-Ni metal/Troilite grains contrast well with chondrule boundaries. Metals make up 30% of the matrix; recrystallised glass constitutes 30% of the matrix, with olivine and pyroxene grains making up the remaining 40%. Olivine, Pyroxene, Plagioclase, Fe-Ni Metal and Sulphides account for the mineralogy of the rock. Elongate crystallite and plagioclase grains have crystallised in the mesostasis of porphyritic olivine chondrules.  The ratio of plagioclase to crystallite is approximately equal. The chondrule types found are RP, BO, PO, C, PP and POP. Sharp extinction in olivine and pyroxene is pervasive. Olivine and pyroxenes portray the early stages of undulose extinction are found in PP, PO, and POP chondrule. Plagioclase shows sharp extinction. Fe-Ni metal and Troilite are dissipated throughout the meteorite and show little interconnectivity. Weathering of Fe-Ni metal and sulphides (10-20% and 10%, respectively) is concentrated on the rims of grains.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.4-21.6, mean=19.39 mol%, std=1.31, n=5; Low-Ca pyroxene Fs16.0-21.3, mean=17.60 mol%, std=2.11, n=5.","Ordinary Chondrite (H4, S2, W1).",,A. Tomkins,,
21414B,,H3,L3,,Ooldea,Australia,South Australia,Nullarbor Plain,21-Apr-2013,,,,"30° 30' 55.1"" S","131° 47' 59.3"" E",15,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Single fragment found by A Tomkins,"A single flat angular fragment, no fusion crust, weathered brown.","(J. Savage, Monash) Pervasive recrystallisation has destroyed all chondrule texture. The whole rock has a porphyritic texture with coarse (0.5-1mm) olivine and pyroxene phenocrysts in an olivine-pyroxene-plagioclase-maskelynite-metal/sulphide groundmass. The minerals present include Olivine, Pyroxene, Plagioclase, Fe-Ni Metal, Troilite and Maskelynite. Due to the magnitude of re-equilibration, chondrule types are unidentifiable. However, coarse pyroxene and olivine grains, as well as localized porphyritic pyroxene-olivine textures are found throughout the meteorite. Plagioclase, pyroxene and olivine show undulose extinction and maskelynite has begun to replace the Plagioclase (<5% replacement). Larger olivine grains display mosaicism and one grain possesses shock lamellae. Polysynthetic twinning is common in fine-grained plagioclase. Fe-Ni metal and troilite are fine-grained; Fe-Ni metal grains are sub-rounded, troilite grains are sub-angular to lobate. Fe-Ni metals and troilite have experienced minor weathering (<5%) with oxides forming around the grain rims.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa30.6-32.1, mean=31.21 mol%, std=0.6, n=5; Low-Ca pyroxene Fs24.5-25.8, mean=25.02 mol%, std=0.47, n=5.","Ordinary Chondrite (LL6, S4, W1).",,A. Tomkins,,
22414A,,L5,L6,,Ooldea,Australia,South Australia,Nullarbor Plain,22-Apr-2013,,,,"30° 32' 52.3"" S","131° 55' 53.5"" E",37.7,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Single broken specimen found by E Mare,A flat fragment with 40% fusion crust weathered dark brown.,"(A. Tomkins, Monash) Numerous easily distinguished chondrules with indistinct edges and coarse mesostases, range in size up to 1.5 mm diameter. Mineralogy includes olivine, pyroxene, plagioclase (mainly <50 microns), FeNi metal, troilite and chromite. Chondrule types include C, RP, PP, POP, PO and BO. Olivine grains show undulose extinction. 99% of Fe-Ni metal and troilite grains have been converted to Fe oxides.",,"Ordinary chondrite (H5, S2, W4)",,A. Tomkins,,
22414B,,L4,L4,,Ooldea,Australia,South Australia,Nullarbor Plain,22-Apr-2013,,,,"30° 32' 30.7"" S","131° 53' 54.9"" E",29.1,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Eight fragments of an oriented individual spread over 5 m2 found by A Tomkins,"Several blocky fragments up to 4 cm, the largest with flight lines on the fusion crust, weathered destert red.","(A. Tomkins, Monash) Well-defined chondrules have fine-grained mesostases, range in size up to 2 mm diameter, and sit in a weakly recrystallised matrix. Mineralogy includes olivine, pyroxene, plagioclase (mainly <10 microns), FeNi metal and troilite. Chondrule types include C, RP, PP, POP, PO and BO. Olivine grains show mosaicism; there is no shock melting. 60% of Fe-Ni metal and much of the troilite grains have been converted to Fe oxides.",,"Ordinary chondrite (L4, S3, W2)",,A. Tomkins,,
22414C,,L4,EL5,,Ooldea,Australia,South Australia,Nullarbor Plain,22-Apr-2013,,,,"30° 37' 09.8"" S","131° 56' 00.3"" E",50.7,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Single fragment found by A Tait,"A single flat angular fragment, 50% fusion crust weathered red-brown","(A. Tomkins, Monash) Poorly defined chondrules, ranging in size up to 2 mm diameter, sit in a strongly recrystallised matrix. Mineralogy includes olivine, pyroxene, plagioclase (some plagioclase-dominated domains exceed 300 microns), FeNi metal, troilite and chromite. Chondrule types include RP, PP and BO. Olivine and orthopyroxene grains show mosaicism and planar deformation fractures, plagioclase has been partially converted to maskellynite. There are shock melt patches and veins. 90% of Fe-Ni metal and most of the troilite grains have been converted to Fe oxides.",,"Ordinary chondrite (L6, S4, W3)",,A. Tomkins,,
23414B,,H5,H5,,Ooldea,Australia,South Australia,Nullarbor Plain,23-Apr-2013,,,,"30° 37' 45.3"" S","131° 56' 10.7"" E",220.2,11,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Single broken specimen found by A Tait,"An equant broken specimen with 65% fusion crust, weathered red-brown.",,,,,A. Tomkins,,
23414C,,Howardite,Lunar,Polymict Eucrite,Ooldea,Australia,South Australia,Nullarbor Plain,23-Apr-2013,,,,"30° 31' 53.5"" S","131° 50' 15.7"" E",58.2,1,Howardite,,,,,,,"A. Tomkins, S. Alkemade, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,A. Tomkins,,Single broken specimen found by A Tait,An equant broken specimen with visible chondrules showing through weathered fusion crustrepresenting 65% of the sample.,,,,,A. Tomkins,,
23414D,,L4,L4,,Ooldea,Australia,South Australia,Nullarbor Plain,23-Apr-2013,,,,"30° 32' 06.5"" S","131° 51' 57.1"" E",10.6,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,Single broken specimen found by E Mare,Dark brown sample with sparse 2 mm patches of shiny black fusion crust (5%) and 1-2 mm white clasts (2%).,Single broken specimen found by E Mare,Single broken specimen found by E Mare,Single broken specimen found by E Mare,,A. Tomkins,,
24414A,,H3,H3,,Ooldea,Australia,South Australia,Nullarbor Plain,24-Apr-2013,,,,"30° 38' 40.7"" S","131° 55' 59.1"" E",14.4,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,,Equant specimen with 60% dark brown/black fusion crust.,,,,,A. Tomkins,,
24414B,,H3,L3,,Ooldea,Australia,South Australia,Nullarbor Plain,24-Apr-2013,,,,"30° 35' 37.2"" S","131° 49' 03.1"" E",113.8,4,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,,,,,,,,,A. Tomkins,,
25414A,,LL6 Breccia,LL6 Breccia,LL6 Breccia,Ooldea,Australia,South Australia,Nullarbor Plain,25-Apr-2013,,,,"30° 29' 23.2"" S","131° 44' 12.0"" E",573,5,LL6 Breccia,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,Monash U.,Monash U.,A. Tomkins,,5 individual stones from a newly defined strewn field defined in 2014. Masses range from 14 to 220 grams.,,,,,,A. Tomkins,,
25414H,,L5,H5,Polymict Breccia,Ooldea,Australia,South Australia,Nullarbor Plain,25-Apr-2013,,,,"30° 29' 30.6"" S","131° 45' 07.2"" E",1.8,1,,,,,,,,,,,,,,,,,,,,,,,
8415B,,EH5,EH5,EH5?,Ooldea,Australia,South Australia,Nullarbor Plain,8-Apr-2015,,,,"30° 41' 28.7"" S","131° 03' 38.2"" E",8.8,2,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tait,,,,,,,,A. Tomkins,,
9415A,,Acapulcoite,Acapulcoite,Acapulcoite,Watson,Australia,South Australia,Nullarbor Plain,9-Apr-2015,,,,"30° 33' 23.9"" S","131° 34' 59.5"" E",3.9,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",S. Nutku,,,,,,,,A. Tomkins,,
9415B,,L4,L5,,Watson,Australia,South Australia,Nullarbor Plain,9-Apr-2015,,,,"30° 32' 51.3"" S","131° 34' 47.0"" E",18.4,4,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,Several fragments found by A Tomkins over ~50 m2,"Several flat broken dark brown fragments, minor fusion crust.","(A. Tomkins, Monash) This sample is composed of moderately defined chondrules, ranging in size from 0.5 to 2mm diameter, and recrystallised matrix. Mineralogy includes olivine, pyroxene, plagioclase, Fe-Ni metal, and troilite. Chondrule types include RP, POP, PP, BO, GOP and PO. 98% of metal and sulfide grains have been replaced by iron oxides. Olivine grains show sharp extinction.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa25.0-25.4, mean=25.22 mol%, std=0.21, n=4; Low-Ca pyroxene Fs21.5-21.9, mean=21.67 mol%, std=0.19, n=4. ","Ordinary chondrite (L5, S1, W4)",,A. Tomkins,,
9415C,,L5,L6,,Watson,Australia,South Australia,Nullarbor Plain,9-Apr-2015,,,,"30° 34' 27.3"" S","131° 35' 05.6"" E",22.2,3,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tait,,Three fragments found over small area by A. Tait.,"Dark brown/black equant fragments, minor fusion crust.","(A. Tomkins, Monash) Only sparse chondrules are recognisable after extenisve recrystallisation and brecciation. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase, FeNi metal, troilite and chromite. Chondrule types include RP, POP and BO. Olivine grains show mosaicism and pdfs; there are numerous shock veins. About 80% of the metal has been oxidised whereas much of the troilite remains.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa19.4-20.0, mean=19.61 mol%, std=0.28, n=4; Low-Ca pyroxene Fs17.4-18.0, mean=17.53 mol%, std=0.29, n=4.  ","Ordinary chondrite (L6, S5, W3) monomict impact breccia",,A. Tomkins,,
9415E,,L3,CV3,,Watson,Australia,South Australia,Nullarbor Plain,9-Apr-2015,,,,"30° 34' 32.5"" S","131° 36' 11.8"" E",37.1,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,Single whole stone found by A. Tomkins,Full dark red-brown fusion crust covering rounded square-edged stone.,"(A. Tomkins, Monash). Numerous easily defined chondrules have indistinct margins, and mesostases are moderately recrystallised with plagioclase up to 50 microns. Chondrules include BO, PO, RP, POP and GOP. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase, FeNi metal, troilite and chromite. Olivine has undulose extinction, and no shock lamellae; plagioclase is clear and twinned. About 50% of the metal and less troilite have been oxidized.","(A.Tait, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa24.8-25.3, mean=25.03 mol%, std=0.29, n=4; Low-Ca pyroxene Fs19.9-20.8, mean=20.47 mol %, std=0.40, n=4.  ","Ordinary Chondrite (L5, S2, W2)",,A. Tomkins,,
10415B,,L4,L3,,Watson,Australia,South Australia,Nullarbor Plain,10-Apr-2015,,,,"30° 29' 29.7"" S","131° 42' 30.8"" E",10,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",R. Hine,,A single elongated sample found with broken fusion crust exposed by R. Hine.,Dark brown sample with ~65% fusion crust.,"(E. Mare, Monash) This sample contains moderately defined chondrules in a recrystallised and rusted matrix. Mineralogy includes olivine, pyroxene, plagioclase, Fe-Ni metal (largely rusted out), and troilite. Chondrule types include RP, POP, CC, PO, PP. Fe-Ni metal grains (<<1%) average ~5 microns. Troilite grains (3%) are up to 200 microns and show some oxidation. Metal and troilite are partly replaced by oxides which make up ~7% of the meteorite. Olivine grains show sharp extinction, however there are extensive melt networks where brecciated silicates are suspended in oxides after troilite and metal.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.7-19.1, mean=18.84 mol%, std=0.19, n=4; Low-Ca pyroxene Fs16.5-17.0, mean=16.83 mol%, std=0.24, n=4. ","Ordinary chondrite (H5, S3, W3)",,A. Tomkins,,
11415A,,L5,L6,,Watson,Australia,South Australia,Nullarbor Plain,11-Apr-2015,,,,"30° 34' 33.5"" S","131° 37' 19.3"" E",83,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",S. Nutku,,Single specimen found by S. Nutku,Single oriented stone with black-brown fusion crust covering about 70% of the sample.,"(J. Savage, Monash) Porphyritic chondrules >1mm are recognisable against the matrix where as the texture of those <1mm has been lost. Two porphyritic chondrules <1mm have troilite rims that make them distinguishable from the matrix. Non-porphyritic chondrules contrast with the matrix. The matrix is more than 95% recrystallised and indistinguishable from the smaller chondrules. Chondrule mesostasis is absent. Minerals present are Olivine, Pyroxene, Oligoclase, Fe-Ni metal and Troilite. Chondrule types include PO, C, BO, POP, PP, and RP. Sparse, coarse olivine and pyroxene grains retain sharp extinction, however the majority of olivine, pyroxene and plagioclase grains exhibit undulose extinction. Fe-Ni metal weathering is >90% for metals grains in or connected by vein networks. Isolated grains are relatively un-weathered with oxidation <10%. Total Fe-Ni metal weathering is 85%. Sulphides show about 50-60% weathering.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa23.0-26.4, mean=24.21 mol%, std=1.58, n=5; Low-Ca pyroxene Fs20.3-23.1, mean=21.36 mol%, std=1.09, n=5.","Ordinary chondrite (L5, S2, W3)",,A. Tomkins,,
11415B,,L5,L6,,Watson,Australia,South Australia,Nullarbor Plain,11-Apr-2015,,,,"30° 33' 49.9"" S","131° 37' 26.3"" E",134,3,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,Three broken fragments foundover an area of ~20 m2 by A. Tomkins.,"Three brown fragments with visible well-formed chondrules on broken surfaces, minor fusion crust.","(J. Savage, Monash) Porphyritic chondrules range in size from 0.5mm an anomalous 4mm with an average size of 1.5mm. Porphyritic chondrules smaller than 0.5mm are indistinguishable from the matrix where as those in the size range mentioned above are easily identified. Non-porphyritic chondrules are all of similar size (~1.5mm) and their boundaries are easily differentiated from the matrix. Some chondrule boundaries show intergrowths of matrix/chondrule composition. Metal and metal-oxides are pervasive and constitute 30% of the matrix. Recrystallised glass makes up 10% of the matrix and the remaining 60% is made up from re-equilibrated chondrites of olivine-pyroxene composition.  The mineralogy of the meteorite includes Olivine, Pyroxene, Fe-Ni metal and troilite. The chondrule types present are PP, POP, BO, C, GOP and PO. Most Olivine and Pyroxene grains have sharp extinction, with some finer grains beginning to develop undulose extinction. One anomalous sub-angular olivine grain possesses a mosaic texture. 98% of Fe-Ni metal has been oxidized with sulphides showing 60% weathering. Where troilite grains are still visible, weathering is localized on the grain rims.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.7-19.6, mean=19.18 mol%, std=0.34, n=5; Low-Ca pyroxene Fs17.1-17.5, mean=17.24 mol%, std=0.16, n=5.","Ordinary Chondrite (H4, S2, W3).",,A. Tomkins,,
11415C,,H4,H3,,Watson,Australia,South Australia,Nullarbor Plain,11-Apr-2015,,,,"30° 35' 49.1"" S","131° 38' 07.0"" E",10.6,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",R. Hine,,A single well rounded sample found with fusion crust facing up by R. Hine.,"Well formed dark brown fusion crust, small amount of lichen attached.","(J. Savage, Monash) Within this brecciated meteorite, the fragments can be divided into (1) those with a light brown matrix and (2) those with a dark brown matrix seen in PPL. Only non-porphyritic chondrules >1mm are identifiable in the (1) breccia fragments. Chondrule sizes range from 1-1.25mm in these fragments. The matrix contains fine-grained plagioclase and maskelynite, moderately coarse pyroxene and olivine grains, and transparent recrystallised glass. The (2) breccia fragments have lost all porphyritic chondrule texture, with the exception of one coarse (1.2mm) POP chondrule that possesses a thick troilite rim. Non-porphyritic chondrules are still moderately distinguishable from the matrix. The matrix is predominantly transparent but contains fine-grained plagioclase and maskelynite as well as moderately coarse pyroxene and olivine grains. The contact between the two fragment types is not sharp, but rather transitional with an intermediate matrix of the two fragments. The whole rock mineralogy consists of Olivine, Pyroxene, Plagioclase, Fe-Ni metal and troilite. Chondrule types present are PP, POP, RP, BO, PO and C. All Olivine, Pyroxene and Plagioclase show undulose extinction with a number of pyroxene and olivine grains also possessing shock lamellae. Multiple olivine grains exhibit mosaicism. Fe-Ni metal shows<10% weathering with troilite weathering <5%. ","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa23.1-36.1, mean=26.24 mol%, std=5.52, n=5; Low-Ca pyroxene Fs19.6-20.5, mean=20.13 mol%, std=0.47, n=5.","Ordinary Chondrite (L5, S4, W1).",,A. Tomkins,,
11415D,,Ureilite,Ureilite,Ureilite,Watson,Australia,South Australia,Nullarbor Plain,11-Apr-2015,,,,"30° 35' 34.7"" S","131° 38' 23.4"" E",27.9,1,Ureilite,,W1,20.42,17.15,8.63,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Tomkins,,Single partly buried stone found by A Tomkins.,"Unusual greenish brown fusion crust covers 65% of the sample; coarse 3 mm pyroxene grains can be seen through the fusion crust, defined by distinct cleavage. The broken surfaces reveal coarse elongated, square edged silicate grains exceeding 5 mm, presumably pyroxene crystals, amongst melted black material.","(S. Alkemade) This sample contains preferentially oriented, elongate coarse crystals of olivine and pigeonite meeting at triple junctions, with graphite + diamond along grain boundaries. Orthopyroxene and augite were not observed. The crystal sizes range from 1 – 5mm, with majority 4-5mm. Reduction rims affect the margins of all olivine grains, and also occur along trangressive fractures within olivine, characterised by micron sized blebs of metal amongst low FeO olivine.","(S. Alkemade) Microprobe analysis show: olivine Fa20.36-20.49, mean = 20.42 mol%, std = 0.06, n = 4; pigeonite  Fs16.93-17.37, mean = 17.15 mol%, Wo8.57-8.66, mean = 8.63, n = 3.",Olivine-pigeonite ureilite,,A. Tomkins,,
12415A,,"L5, S6","L6, S4",,Watson,Australia,South Australia,Nullarbor Plain,12-Apr-2015,,,,"30° 35' 53.2"" S","131° 35' 05.3"" E",135,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",,"Monash U., South Australian Museum","Monash U., South Australian Museum",A. Langendam,,Single stone found by A Langendam,Single equant brown specimen with corroded thin fusion crust.,"(J. Savage, Monash) Pervasive recrystallisation has destroyed all chondrule texture. The whole rock has a porphyritic texture with coarse (0.5-1mm) olivine and pyroxene phenocrysts in an olivine-pyroxene-plagioclase-maskelynite-metal/sulphide groundmass. The minerals present include Olivine, Pyroxene, Plagioclase, Fe-Ni Metal, Troilite and Maskelynite. Due to the magnitude of re-equilibration, chondrule types are unidentifiable. However, coarse pyroxene and olivine grains, as well as localized porphyritic pyroxene-olivine textures are found throughout the meteorite. Plagioclase, pyroxene and olivine show undulose extinction and maskelynite has begun to replace the Plagioclase (<5% replacement). Larger olivine grains display mosaicism and one grain possesses shock lamellae. Polysynthetic twinning is common in fine-grained plagioclase. Fe-Ni metal and troilite are fine-grained; Fe-Ni metal grains are sub-rounded, troilite grains are sub-angular to lobate. Fe-Ni metals and troilite have experienced minor weathering (<5%) with oxides forming around the grain rims.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa30.6-32.1, mean=31.21 mol%, std=0.6, n=5; Low-Ca pyroxene Fs24.5-25.8, mean=25.02 mol%, std=0.47, n=5.","Ordinary Chondrite (LL6, S4, W1).",,A. Tomkins,,
